titulo;provincia;fecha_publicacion;descripcion;provinciaalternativa;fuentecontenido;idlocalidad;localidad;latitud;longitud;codigo_localidad;identificador;actualizacionmetadatos;enlace_al_contenido;posicion
Perfiles de hostelería en Mallorca;Otra;2023-10-25;"<p>Una cadena hotelera situada en Mallorca ya empieza a buscar profesionales de los siguientes<br />perfiles para la temporada de verano 2024. </p>
<ul>
<li>Jefe de cocina</li>
<li>Segundo jefe de cocina</li>
<li>Jefe de recepción</li>
<li>Relaciones públicas</li>
</ul>
<p>Si estás interesado/a, envía tu CV actualizado a<br />eures-baleares.casellas@sepe.es</p>
<p>Más información en el archivo adjunto</p><p><strong>Información obtenida de: </strong>EURES. <a href='http://www.sepe.es/redEURES' target='_blank'>http://www.sepe.es/redEURES</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://servicios3.jcyl.es/enbo/siau/contenido/emljVEtjYld3eVhqbW5xSkZ3d3ZkY09mYXZmTXlXZjArWjFFM1Q0VWZFMD0%3D' target='_blank'>Más información</a></li><li><a href='https://www.sepe.es/HomeSepe/Personas/encontrar-trabajo/empleo-europa/Ofertas-empleo-destacadas-informacion-paises/empleo-espana.html' target='_blank'>Más ofertas en España</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-EURES/100537' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";España;Red EURES;;;;;;1285326816458;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326816458/Empleo;
Healthcare assistant en Irlanda;Otra;2023-10-25;"<p><strong>Empresa </strong>24hr Care Services España is a recruitment and placement company providing service to the healthcare sector in Ireland. We find and place the highest-quality staff in hospitals, clinics, and <br />residential services for people with disabilities and children in care. We are currently looking to <br />recruit Doctors, Nursing Staff, Care Assistants and Social Care Workers for short- or long-term <br />contracts in the greater Dublin area. <br /><strong>DATOS DEL PUESTO</strong> <br /><strong>Ocupación</strong>: Healthcare Assistant <br /><strong>N puestos:</strong> 50 <br /><strong>Descripción del puesto:</strong> <br />Committed and compassionate Health Care Assistants who must be willing to work within some <br />of our many Nursing Homes who are currently seeking to roster staff weekly for the foreseeable <br />future. Candidates must be of sound character, have an empathy for people in care and the <br />vulnerable in our society, be willing to work under instruction, as part of a team and capable of <br />working on own initiative.<br /><strong>REQUISITOS</strong> <br />Experiencia: Experienced (Non-Managerial).<br />Formación: Minimum Fetac Level 5 or equivalent in QQI accredited certification in Healthcare<br />Idiomas: An appropriate level of English - Minimum B2 level required. <br />Permisos/Certificados: Garda Vetting. <br />Offer shifts to suit preferred times and locations. </p>
<p><strong>CONDICIONES DEL PUESTO:</strong><br />Salario: Starting at euros32.472. <br />Localidad del puesto: Greater Dublin area. <br />Tipo de contrato: Permanent. <br />Tiempo complete/parcial: Full-time (flexible hours available). <br />Horas por semana: 37,5 <br />Fecha de inicio: As soon as registration and paperwork are completed. Once all the <br />relevant checks are completed, i.e. Garda Vetting, reference check, candidates must be ready to <br />start with immediate effect.</p>
<p><strong>MODO DE SOLICITUD:</strong><br />Enviar el CV en inglés: <br /> <br />Dirigido a: A: amy@24hrcareservices.es<br />Con copia a pcpmixto.eures@sepe.es<br />Asunto: Healthcare Assistant-24hrs care<br />Las entrevistas se realizarán a través de videollamada con la empresa.</p><p><strong>Información obtenida de: </strong>EURES. <a href='http://www.sepe.es/redEURES' target='_blank'>http://www.sepe.es/redEURES</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://servicios3.jcyl.es/enbo/siau/contenido/SEQrTC85MGVEazNsSm4xbUY3SCtTVmg1NytKQ0FDeFdlR25scCs0UktEYz0%3D' target='_blank'>Más información</a></li><li><a href='https://www.sepe.es/HomeSepe/Personas/encontrar-trabajo/empleo-europa/Ofertas-empleo-destacadas-informacion-paises/empleo-irlanda.html' target='_blank'>Más ofertas en Irlanda</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-EURES/100389' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";Europa;Red EURES;;;;;;1285326816429;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326816429/Empleo;
Gerocultores/as en el ámbito de la Oficina de empleo de Soria;Soria;2023-10-25;"<p style='text-align: justify;'>Varias residencias de personas mayores en Soria y provincia precisan contratar <strong>AUXILIARES DE GERIATRÍA.</strong></p>
<p style='text-align: justify;'><strong>Requisitos:</strong></p>
<p>Una de las siguientes titulaciones:</p>
<ul>
<li>Técnico en Cuidados Auxiliares de Enfermería.</li>
<li>Técnico en Atención a Personas en Situación de Dependencia.</li>
<li>Certificado de Profesionalidad de Atención Sociosanitaria a Personas Dependientes en Instituciones Sociales.</li>
</ul>
<p style='text-align: justify;'><strong>Se ofrece:</strong></p>
<ul>
<li style='text-align: justify;'>Contratos indefinidos y temporales a jornada completa.</li>
<li style='text-align: justify;'>Contrato a jornada parcial de tarde en Residencia de Fuentetoba.</li>
</ul>
<p><strong style='text-align: justify;'>Para solicitar:</strong></p>
<p style='text-align: justify;'><strong>Contacte con las empresas</strong> enviando su<strong> Curriculum </strong>a las dirección de correo electrónico siguiente:</p>
<ul>
<li><strong>Residencia de Soria: <a title='fmvega@seniorsi.es' href='mailto:fmvega@seniorsi.es'>emis.1999@hotmail.com</a></strong></li>
<li><span style='color: #000000;'><strong><span style='color: #0000ff;'><strong><span style='color: #800000;'><span style='color: #000000;'><strong><span style='color: #0000ff;'><span style='color: #000000;'><span style='color: #000000;'><strong><span style='color: #0000ff;'><strong><span style='color: #800000;'><span style='color: #000000;'><strong>Residencia de Almarza: </strong><span style='text-decoration: underline; color: #0000ff;'>pilarmodrego@residenciaalmarza.es</span></span></span></strong></span></strong></span></span></span></strong></span></span></strong></span></strong></span></li>
<li><span style='color: #000000;'><strong>Residencia del Royo, Valdeavellano de Tera, San Pedro Manrique</strong>: <strong><span style='text-decoration: underline;'><span style='color: #0000ff; text-decoration: underline;'>consultaslaborales@grupomimara.com</span></span></strong></span></li>
<li><span style='color: #000000;'><strong>Residencia de Fuentetoba</strong>: <strong><span style='text-decoration: underline;'><span style='color: #0000ff; text-decoration: underline;'>aliciallorente@hotmail.com</span></span></strong></span></li>
<li><span style='color: #000000;'><strong>Residencia de San Leonardo: <span style='text-decoration: underline;'><span style='color: #0000ff; text-decoration: underline;'>sanblas@residenciareal.com</span></span></strong></span></li>
</ul>
<p style='padding-left: 30px;'><span style='color: #000000;'><span style='color: #0000ff;'><span style='color: #800000;'><span style='color: #000000;'><span style='color: #0000ff;'><span style='color: #000000;'><span style='color: #000000;'><span style='color: #0000ff;'><span style='color: #800000;'><span style='color: #000000;'>Indique en el asunto 'Oferta ECYL Gerocultor/a'.</span></span></span></span></span></span></span></span></span></span></p><p><strong>Información obtenida de: </strong>ECYL. Oficina de Empleo de Soria</p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-ECYL/100573' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;ECYL;;;;;;1285326816292;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326816292/Empleo;
Técnico/a electromecánico con discapacidad en Venta de Baños (Palencia);Otra;2023-10-25;"<p>Se oferta puesto de <strong>técnico electromecánico</strong> con certificado de <strong>discapacidad</strong> para Centro Especial de Empleo de Venta de Baños (Palencia).</p>
<p><strong>Funciones del puesto:</strong></p>
<ul>
<li>Diagnosticar y solucionar problemas mecánicos que puedan surgir.</li>
<li>Realización del mantenimiento y puesta a punto de la maquinaria.</li>
<li>Inspeccionar el correcto estado y garantía de los equipos.</li>
<li>Garantizar que toda la maquinaria cumpla los estándares tanto de seguridad como de calidad..</li>
</ul>
<p><strong>Se requiere:</strong></p>
<ul>
<li>Valorable experiencia.</li>
<li>Estudios relacionados con electromecánica, mecánica o mantenimiento industrial, ya sea a través de Formación Profesional, Certificación Profesional, etc.</li>
<li>Certificado de discapacidad de al menos 33%.</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Laboral indefinido, jornada completa.</li>
</ul>
<p><strong>Para información:</strong></p>
<p>Contactar con la sección de ofertas de la Oficina de Empleo de Venta de Baños en el teléfono: <strong>979 77 01 99</strong> o presentarse en oficina sin cita previa. Nro. Oferta: <strong>19835</strong>.</p><p><strong>Información obtenida de: </strong>ECYL. Venta de Baños</p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-ECYL/100529' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";España;ECYL;;;;;;1285326816180;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326816180/Empleo;
Oficial Peluquero para El Burgo de Osma (Soria);Otra;2023-10-25;"<p>La empresa <em>HERNÁNDEZ PARDO S.L.</em> necesita un <strong>OFICIAL PELUQUERO PARA SEÑORAS</strong> para la localidad de El Burgo de Osma (y puntualmente para Soria Capital).</p>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Permiso de Conducir.</li>
<li>Se valora titulación relacionada con peluquería.</li>
<li>Experiencia mínima de un mes.</li>
<li>Informática básica.</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato indefinido.</li>
<li>Jornada completa de mañana y tarde.</li>
<li>Salario según convenio.</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>Las personas interesadas deberán enviar su C.V. a la dirección de correo electrónico de la Oficina de Empleo de El Burgo de Osma: <a title='ecylburgosma@jcyl.es' href='mailto:ecylburgosma@jcyl.es'><strong><em>ecylburgosma@jcyl.es</em></strong></a>, indicando en el Asunto el número de <strong>Oferta 19893-Peluquero/a y el DNI.</strong></li>
</ul><p><strong>Información obtenida de: </strong>ECYL. Oficina de Empleo de El Burgo de Osma</p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-ECYL/100546' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";España;ECYL;;;;;;1285326815958;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326815958/Empleo;
Enfermeros/as para la Gerencia de Servicios Sociales en Soria;Soria;2023-10-25;"<p style='text-align: justify;'>La <em>Gerencia Territorial de Servicios Sociales de Soria</em> precisa<strong> 10 </strong><strong>ENFERMEROS/AS </strong>para residencias de la tercera edad.</p>
<p style='text-align: justify;'><strong>Requisitos:</strong></p>
<ul style='text-align: justify;'>
<li>Diplomatura o Grado en Enfermería.</li>
</ul>
<p style='text-align: justify;'><strong>Se ofrece:</strong></p>
<ul>
<li>Un contrato por sustitución de reducción de jornada.</li>
<ul>
<li>Jornada parcial del 41,47% de jornada.</li>
<li>Turnos:</li>
<ul>
<li>Mañana: No realiza.</li>
<li>Tarde: Lunes a viernes a jornada completa (15:00 a 22:30).</li>
<li>Noches: Todas las que tenga por calendario (22:30 a 07:30).</li>
<li>No realiza fines de semanas ni festivos en turno de mañana y tarde.</li>
</ul>
</ul>
<li>Dos contrato por interinidad de plaza vacante, a jornada completa.</li>
<li>Dos contratos de vacaciones a jornada completa de 7 meses. </li>
</ul>
<p><strong>Para solicitar:</strong></p>
<p style='text-align: justify; padding-left: 30px;'>Las personas interesadas deberán <strong>contactar con la Oficina de Empleo de Soria</strong>, enviando su <strong>C.V.</strong> a la dirección de correo electrónico <strong><a href='mailto:ecylempleosoria@jcyl.es'>ecylempleosoria@jcyl.es</a> </strong>, indicando en el Asunto <em>'Oferta Enfermero/a Gerencia de Servicios Sociales'.</em></p><p><strong>Información obtenida de: </strong>ECYL. Oficina de Empleo de Soria</p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/dldnMlBjTXhoZXdzajQ3a3JXaWJaM211aWFSZEJzK0djQ0VYSnFSNWJKcz0%3D/EMPLEO-ECYL/100574' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;ECYL;1179469197687;Soria;41.76443;-2.463772;42;1285326815902;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326815902/Empleo;41.7644299990626, -2.463772
Monitor/a de Tiempo Libre en Ayto. de Sahagún (León);León;2023-10-25;"<p><strong>Convoca: </strong>Ayuntamiento de Sahagún<br /><br /><strong>Cuerpo:</strong> MONITOR/A DE TIEMPO LIBRE</p>
<p><strong>Plazas:</strong> 1</p>
<p><strong>Acceso:</strong> concurso de méritos</p>
<p><strong>Plazo:</strong> 8 de noviembre de 2023</p>
<p><strong>Observaciones:</strong> adscrita a la escuela infantil de Sahagún</p><p><strong>Información obtenida de: </strong>Empleo público. bop León 24/10/23</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://servicios3.jcyl.es/enbo/siau/contenido/K1RRV0lvQWVpWWY4M1l3R3pmUGdrSThDUmFmdW5yNG9hVG12UjMvcWJpRT0%3D' target='_blank'>Consulta la convocatoria en bop León 24/10/23</a></li><li><a href='https://sahagun.sedelectronica.es/info.0' target='_blank'>Sede electrónica del Ayto. de Sahagún</a></li></ul></p>";;Organismo oficial;1179297923354;Sahagún;42.37096;-5.029949;24;1285326747116;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326747116/Empleo;42.37095999906058, -5.029949
TÉCNICOS EN CONTABILIDAD, EN GENERAL;León;2023-10-25;<p>OFERTA 19305. EMPLEADO ADMINISTRATIVO. Tareas de Contabilidad.Contrato indefinido jornada completa. Interesados/as llamar Oficina Empleo León Centro (Ofertas) Tfno. 987 249530.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320223'>Oficina Virtual</a></p>;;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285326742280;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326742280/Empleo;42.59872999905995, -5.5670958
LIMPIADORES DE VENTANAS;Burgos;2023-10-25;<p>SE NECESITA CUBRIR 1 PUESTO DE LIMPIADOR DE CRISTALES CON EXPERIENCIA PARA REALIZAR LA LIMPIEZA DE VENTANAS SEGÚN PROGRAMACIÓN DADA POR LA EMPRESA EN DISTINTOS CENTROS DE BURGOS, CON VEHÍCULO DE EMPRESA. OFRECEN CONTRATO TEMPORAL POR SUSTITUCIÓN DE BAJA, JORNADA COMPLETA, HORARIO DE MAÑANAS CON ALGUNA TARDE SEGÚN CUADRANTE, SALARIO DE 1.100euros/MES. ES PRECISO NO PADECER VÉRTIGOS. PERMISO DE CONDUCIR VALORABLE, EDAD:> DE 30 AÑOS. SI ESTA INTERESAD@ ENVIE UN EMAIL A ecylcalzadas@jcyl.es(INTERESAD@ OFERTA 1 LIMPIADOR_19994)INDICANDO SU NOMBRE, APELLIDOS Y NÚMERO DNI/NIE. SOLO SE ATENDERÁN LAS CANDIDATURAS DE LAS PERSONAS QUE REUNAN EL PERFIL Y ESTÉN INSCRITAS EN UNA OFICINA DE EMPLEO. MUCHAS GRACIAS.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320912'>Oficina Virtual</a></p>;;ECYL;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285326677391;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326677391/Empleo;42.340823556560686, -3.702058690830001
Bolsa de Profesor/a de Mecánica en IES 'La Providencia' de Medina de Pomar (Burgos);Burgos;2023-10-25;"<p><strong>Convoca: </strong>Ayuntamiento de Medina de Pomar</p>
<p><strong>Cuerpo: </strong>PROFESOR/A DE MECÁNICA</p>
<p><strong>Plazas: </strong>bolsa de empleo </p>
<p><strong>Acceso: </strong>concurso</p>
<p><strong>Titulación:</strong> Ingeniero Técnico o Superior en Mecánica o licenciatura o grado en cualquiera de las ramas de mecánica o similares o alguno de los siguiente títulos equivalentes a efectos de docencia que a continuación se recogen:</p>
<p><br /> Ingeniero técnico agrícola, en todas sus especialidades. <br /> Ingeniero forestal, en todas sus especialidades. <br /> Ingeniero de minas, en todas sus especialidades. <br /> Ingeniero naval, en todas sus especialidades. <br /> Ingeniero de obras públicas, en todas sus especialidades. <br /> Ingeniero técnico industrial, en todas sus especialidades. <br /> Técnico superior en automoción y otros títulos.</p>
<p><strong>Plazo:</strong> 6 de noviembre de 2023</p><p><strong>Información obtenida de: </strong>Empleo público. bop Burgos 25/10/23</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='http://bopbur.diputaciondeburgos.es/sites/default/files/private/publicado/bopbur-2023-201/bopbur-2023-201-anuncio-202305505.pdf' target='_blank'>Consulta las bases en bop Burgos 25/10/23</a></li></ul></p>";;Organismo oficial;1182753788495;Medina de Pomar;42.928097;-3.4869573;09;1285326669073;2023-10-25;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326669073/Empleo;42.928096999059115, -3.4869572999999994
PEONES DE LA INDUSTRIA MANUFACTURERA, EN GENERAL;León;2023-10-24;"<p>Funciones:
?Trabajo en planta de producción en la sección de productos cocidos. Rellenar moldes con carne para cocer. Trasladar carros de cocción entre cámaras y hornos. Desmoldado y envasado de productos cocidos.
Requisitos:
?Titulación: Secundaria.
?Permiso de conducir: B.
?Edad: menor de 40.
Se ofrece:
?Contrato temporal: 3 meses.
?Jornada completa.
?Horario: turnos de mañana y tarde principalmente (6 a 14 y 14 a 22 h.)
Contactar con la Oficina de Empleo de Bembibre en el teléfono 987 511 461, en horario de 9 a 14 h. Nº de oferta 19976</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320894'>Oficina Virtual</a></p>";;ECYL;1179297775135;Bembibre;42.617176;-6.4186482;24;1285326465358;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326465358/Empleo;42.6171759990599, -6.4186482
EMPLEADOS ADMINISTRATIVOS, EN GENERAL;León;2023-10-24;"<p>Para visitas a empresas para realizar las funciones propias de Técnico en Prevención de Riesgos Laborales. FP de Grado Superior de Prevención de Riesgos Profesionales. Contrato temporal, con posibilidad de indefinido. Jornada completa.
Contactar con Oficina de Empleo León Centro, teléfono 987249530 (Sección Ofertas)</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=318029'>Oficina Virtual</a></p>";;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285326421273;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326421273/Empleo;42.59872999905995, -5.5670958
ALBAÑILES;León;2023-10-24;<p>PARA LA OFERTA NÚMERO 19906 DE OFICIAL DE 1ª ALBAÑIL PARA LA EMPRESA 'EXCAVACIONES FRANCO, S.A.' DE SAN MARTÍN DEL CAMINO (LEÓN). SE OFRECE CONTRATO INDEFINIDO A JORNADA COMPLETA. SE REQUIERE EXPERIENCIA EN CANALIZACIÓN, TABIQUERÍA, SOLADO, ALICATADO, ENCOFRADO. ETC. Y TENER EL PRL CONVENIO DE LA CONSTRUCCIÓN.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320824'>Oficina Virtual</a></p>;;ECYL;1179297948096;Santa Marina del Rey;42.512775;-5.857387;24;1285326358951;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326358951/Empleo;42.512774999060184, -5.857386999999999
ESTETICISTAS;León;2023-10-24;<p>OFERTA 19926. ESTETICISTA. Contrato indefinido jornada completa partida. Se requiere experiencia e informática nivel usuario. Interesadas llamar Oficina Empleo León Centro (Ofertas) tfno. 987 249530.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320844'>Oficina Virtual</a></p>;;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285326312189;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326312189/Empleo;42.59872999905995, -5.5670958
ASISTENTES DOMICILIARIOS;Palencia;2023-10-24;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320847'>Oficina Virtual</a></p>;;ECYL;1179298067132;Buenavista de Valdavia;42.636326;-4.613403;34;1285326273858;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326273858/Empleo;42.63632599905984, -4.613403
Proceso de estabilización de empleo temporal en el Ayto de Carucedo (León);Otra;2023-10-24;"<p><strong>Convoca:</strong> Ayuntamiento de Carucedo</p>
<p><strong>Cuerpo: </strong>VARIOS</p>
<p><strong>Plazas: </strong>3</p>
<p><strong>Acceso: </strong>Concurso de méritos o Concurso-Oposición. Consulte Bases</p>
<p><strong>Titulación:</strong> Específica para cada cuerpo y especialidad. Consulte Bases<br /><br /><strong>Plazo:</strong> 22 de noviembre de 2023</p>
<p><strong>Observaciones:</strong> Proceso extraordinario de estabilización de empleo temporal.</p>
<p><strong>Plazas convocadas:</strong> Oficial de Segunda (1), Auxiliar Administrativo/a (1), Limpiador/a (1)</p><p><strong>Información obtenida de: </strong>Empleo público. BOP León 24/02/2023; BOCYL 24/02/2023; BOE 09/10/2023; BOE 24/10/2023</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://bocyl.jcyl.es/boletines/2023/02/24/pdf/BOCYL-D-24022023-24.pdf' target='_blank'>Auxiliar administrativo</a></li><li><a href='https://bocyl.jcyl.es/boletines/2023/02/24/pdf/BOCYL-D-24022023-25.pdf' target='_blank'>Limpiador</a></li><li><a href='https://www.boe.es/boe/dias/2023/10/24/pdfs/BOE-A-2023-21819.pdf' target='_blank'>Pincha para ver nuevo plazo</a></li><li><a href='https://www.boe.es/boe/dias/2023/10/09/pdfs/BOE-A-2023-20842.pdf' target='_blank'>Pincha aquí para ver la convocatoria</a></li><li><a href='https://bocyl.jcyl.es/boletines/2023/02/24/pdf/BOCYL-D-24022023-26.pdf' target='_blank'>Oficial segunda</a></li></ul></p>";España;Organismo oficial;;;;;;1285326259873;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326259873/Empleo;
Conductor;Burgos;2023-10-23;"<p>Se necesita <strong>conductor </strong>para grúa y góndola, con carnet C+E y CAP para Burgos.</p>
<p>Teléfono: <strong>947.40.50.50</strong>. Oficina.</p>
<p>Información procedente de: <strong>'El Diario de Burgos'</strong></p>";;Internet / Prensa;;;;;;1285325983969;2023-10-23;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325983969/Empleo;
Carnicero/a;Salamanca;2023-10-23;"<p>Se necesita <strong>CARNICERO/A</strong> con experiencia.</p>
<p>Interesados llamar al teléfono<strong> 616383808.</strong></p>
<p>Información procedente de:<strong> 'La Gaceta de salamanca'</strong></p>";;Internet / Prensa;;;;;;1285325973550;2023-10-23;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325973550/Empleo;
ALBAÑILES;Zamora;2023-10-23;"<p>Oferta Nº 17298 de ALBAÑIL OFICIAL DE 1ª para Zamora.
Interesados deben contactar con la empresa llamando al TF: 655836703.
Funciones: obra en Zamora capital. Los trabajos consistirán en reforma de tejados y cubiertas.
Condiciones: Contrato indefinido, conforme al Convenio de Construcción.
Requisitos: Formación básica en construcción y experiencia previa.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=318216'>Oficina Virtual</a></p>";;ECYL;1179469491795;Zamora;41.507324;-5.745313;49;1285325906988;2023-10-23;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325906988/Empleo;41.507323999063566, -5.745313000000001
Interinidad de Auxiliar Administrativo/a para Ayto. de Nava de la Asunción (Segovia);Segovia;2023-10-23;"<p><strong>Convoca:</strong> Ayuntamiento de Nava de la Asunción</p>
<p><strong>Cuerpo:</strong> AUXILIAR ADMINISTRATIVO/A</p>
<p><strong>Plazas:</strong> 1 (Interinidad)</p>
<p><strong>Acceso:</strong> Prueba de aptitud y Valoración de méritos</p>
<p><strong>Titulación:</strong> Graduado en ESO o equivalente</p>
<p><strong>Plazo:</strong> 2 de noviembre de 2023</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Segovia 23/10/2023</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.dipsegovia.es/documents/39512/55f074c9-1839-5676-02a7-1b9f5f37b448' target='_blank'>Consulte Bases en BOP Segovia 23/10/2023</a></li></ul></p>";;Organismo oficial;1179298525930;Nava de la Asunción;41.15645;-4.489722;40;1285325889047;2023-10-23;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325889047/Empleo;41.15644999906503, -4.4897219999999995
COCINEROS, EN GENERAL;Burgos;2023-10-20;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320517'>Oficina Virtual</a></p>;;ECYL;1182753763500;Fuentespina;41.6318849967;-3.68622950121;09;1285325524640;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325524640/Empleo;41.6318849957631, -3.68622950121
